,full_name,resale_price,registered_year,engine_capacity,transmission_type,kms_driven,owner_type,fuel_type,seats,mileage,body_type
1038,Maruti Alto 800 LXI,287000.0,2017,796,Manual,51498,First Owner,Petrol,5,22.05,Hatchback
1039,Mahindra XUV500 AT W10 1.99 mHawk,1165000.0,2018,1997,Automatic,89381,Second Owner,Diesel,7,16.0,SUV
1040,Maruti Alto K10 VXI,369000.0,2019,998,Manual,39749,First Owner,Petrol,5,24.39,Hatchback
1041,Maruti Alto K10 VXI,245000.00000000003,2012,998,Manual,123046,Second Owner,Petrol,5,24.39,Hatchback
1042,Maruti Baleno 1.2 Zeta,636000.0,2019,1197,Manual,88792,First Owner,Petrol,5,21.4,Hatchback
1044,Tata New Safari XZA Plus 6 Str AT BSVI,2450000.0,2022,1956,Automatic,20000,First Owner,Diesel,6,14.08,SUV
1045,Maruti Zen Estilo LX BSIV,120000.0,2010,998,Manual,90000,Third Owner,Petrol,5,19.0,Hatchback
1046,Renault Duster 85PS Diesel RxL,325000.0,2013,1461,Manual,110000,Third Owner,Diesel,5,20.45,SUV
1047,Mahindra Thar CRDe AC,490000.00000000006,2011,2498,Manual,80000,First Owner,Diesel,6,16.55,SUV
1048,Hyundai i20 Sportz 1.4 CRDi,585000.0,2016,1396,Manual,100000,First Owner,Diesel,5,22.54,Hatchback
1049,Maruti Baleno Zeta,709000.0,2021,1197,Manual,12047,First Owner,Petrol,5,21.01,Hatchback
1050,Maruti Baleno Delta,704000.0,2021,1197,Manual,16990,Second Owner,Petrol,5,21.01,Hatchback
1051,Maruti Baleno Delta,657000.0,2021,1197,Manual,10763,First Owner,Petrol,5,21.01,Hatchback
1052,Maruti Swift VDI,342000.0,2013,1248,Manual,85724,Third Owner,Diesel,5,22.9,Hatchback
1053,Maruti Baleno 1.2 Zeta,713000.0,2019,1197,Manual,21687,Second Owner,Petrol,5,21.4,Hatchback
1055,Honda City E,381000.0,2013,1497,Manual,90478,Second Owner,Petrol,5,16.8,Sedan
1056,Maruti Swift Dzire VXI CNG BSVI,819999.9999999999,2022,1197,Manual,22263,First Owner,CNG,5,31.12,Sedan
1057,Maruti Swift Dzire VXI,457000.0,2015,1197,Manual,59994,First Owner,Petrol,5,22.41,Sedan
1058,Mercedes-Benz S-Class S 350 CDI,3850000.0,2015,2987,Automatic,75000,First Owner,Diesel,5,13.5,Sedan
1059,Hyundai Creta 1.6 VTVT SX Plus,715000.0,2016,1591,Manual,80000,Second Owner,Petrol,5,13.0,SUV
1060,Honda City i DTEC VX,550000.0,2014,1498,Manual,90000,First Owner,Diesel,5,25.1,Sedan
1061,Honda City GXi,130000.0,2008,1497,Manual,150000,Third Owner,Petrol,5,17.7,Sedan
1062,Skoda Kushaq 1.0 TSI Ambition Classic,1360000.0,2022,999,Manual,10000,First Owner,Petrol,5,19.2,SUV
1063,Maruti Swift Dzire LXI,450000.0,2016,1197,Manual,80000,First Owner,Petrol,5,19.0,Sedan
1064,Hyundai Santro Magna BSIV,450000.0,2019,1086,Manual,30000,First Owner,Petrol,5,20.3,Hatchback
1065,Hyundai Verna SX Opt Diesel,1322000.0,2022,1493,Manual,54131,Second Owner,Diesel,5,25.0,Sedan
1066,Maruti Baleno 1.2 CVT Zeta,612000.0,2017,1197,Automatic,52440,First Owner,Petrol,5,21.4,Hatchback
1069,Maruti Swift VXI,238000.0,2010,1197,Manual,92303,First Owner,Petrol,5,22.38,Hatchback
1070,Honda City i-VTEC CVT V,793000.0,2018,1497,Automatic,50104,Second Owner,Petrol,5,18.0,Sedan
1071,Maruti Alto K10 VXI AMT,319000.0,2016,998,Automatic,112891,First Owner,Petrol,5,23.95,Hatchback
1072,BMW 6 Series GT 630d M Sport 2018-2021,5950000.0,2019,2993,Automatic,32000,First Owner,Diesel,4,17.09,Sedan
1073,Hyundai Venue SX Plus Turbo DCT BSIV,1003999.9999999999,2019,998,Automatic,50829,First Owner,Petrol,5,18.15,SUV
1074,Maruti Alto 800 LXI,260000.0,2015,796,Manual,24719,First Owner,Petrol,5,22.05,Hatchback
1075,Hyundai Verna SX Opt Diesel,1300000.0,2022,1493,Manual,21801,First Owner,Diesel,5,25.0,Sedan
1076,Audi Q3 35 TDI Quattro Premium Plus,1975000.0,2018,1968,Automatic,90000,Second Owner,Diesel,5,15.17,SUV
1077,Skoda Superb Elegance 1.8 TSI,500000.0,2012,1798,Manual,150000,First Owner,Petrol,5,13.7,Sedan
1078,Renault Duster 85PS Diesel RxL,360000.0,2013,1461,Manual,90000,Third Owner,Diesel,5,20.45,SUV
1079,Toyota Fortuner 2.8 2WD AT BSIV,2875000.0,2018,2755,Automatic,74000,First Owner,Diesel,7,12.9,SUV
1080,Honda City V MT,450000.0,2013,1497,Manual,70000,First Owner,Petrol,5,16.8,Sedan
1081,Hyundai Santro Xing GLS,151000.0,2009,1086,Manual,80000,Second Owner,Petrol,5,17.92,Hatchback
1082,Maruti Alto K10 2010-2014 VXI,200000.0,2012,998,Manual,50000,First Owner,Petrol,5,20.92,Hatchback
1084,Maruti Ciaz Alpha AT BSVI,938000.0000000001,2020,1462,Automatic,44122,First Owner,Petrol,5,20.04,Sedan
1085,Hyundai Grand i10 1.2 Kappa Sportz BSIV,411000.00000000006,2017,1197,Manual,70964,Second Owner,Petrol,5,18.9,Hatchback
1086,Hyundai Grand i10 Magna,391000.0,2016,1197,Manual,72641,First Owner,Petrol,5,18.9,Hatchback
1087,Mercedes-Benz C-Class C 200 CGI,3590000.0,2018,1991,Automatic,37000,First Owner,Petrol,5,14.74,Sedan
1088,Maruti Baleno 1.2 CVT Alpha,953999.9999999999,2021,1197,Automatic,25819,First Owner,Petrol,5,21.4,Hatchback
1089,Maruti Alto K10 VXI,249000.00000000003,2012,998,Manual,63557,Second Owner,Petrol,5,24.39,Hatchback
1090,Hyundai i20 Sportz Plus BSIV,685000.0,2019,1197,Manual,76251,First Owner,Petrol,5,18.6,Hatchback
1092,Maruti Vitara Brezza ZDi,859000.0,2019,1248,Manual,63196,First Owner,Diesel,5,24.3,SUV
1093,Maruti Swift VXI AMT,629000.0,2018,1197,Automatic,24555,First Owner,Petrol,5,22.56,Hatchback
1094,Hyundai Verna SX IVT,1250000.0,2021,1497,Automatic,10740,First Owner,Petrol,5,18.45,Sedan
1095,Ford Endeavour 2.2 Titanium AT 4X2,2475000.0,2018,2198,Automatic,99000,Second Owner,Diesel,7,12.62,SUV
1096,Honda Amaze S i-Vtech,450000.0,2014,1198,Manual,80000,First Owner,Petrol,5,18.0,Sedan
1097,Honda City i VTEC SV,450000.0,2014,1497,Manual,70000,First Owner,Petrol,5,17.4,Sedan
1099,BMW 3 Series GT M Sport Petrol,4450000.0,2020,1998,Automatic,15000,Second Owner,Petrol,5,15.34,Sedan
1101,Hyundai Verna VTVT 1.6 AT SX Option,950000.0,2019,1591,Automatic,110000,Second Owner,Petrol,5,17.0,Sedan
1102,Hyundai Accent Executive,180000.0,2012,1495,Manual,90000,Third Owner,Petrol,5,16.36,Sedan
1103,Mercedes-Benz GLS 350d 4MATIC,4950000.0,2016,2987,Automatic,66000,Second Owner,Diesel,7,11.0,SUV
1104,Maruti Swift VXI,617000.0,2018,1197,Manual,35164,First Owner,Petrol,5,22.38,Hatchback
1105,Maruti Alto K10 VXI,313000.0,2016,998,Manual,28083,Second Owner,Petrol,5,24.39,Hatchback
1106,Ford Ecosport 1.5 Diesel Trend BSIV,600000.0,2018,1498,Manual,109496,First Owner,Diesel,5,23.0,SUV
1107,Audi A6 35 TDI,2025000.0,2016,1968,Automatic,68000,First Owner,Diesel,5,18.53,Sedan
1108,Maruti Swift VXI,632000.0,2021,1197,Manual,28305,First Owner,Petrol,5,22.38,Hatchback
1109,Tata Nexon XZA Plus (O) AMT Diesel,1202000.0,2022,1497,Automatic,32928,First Owner,Diesel,5,22.07,SUV
1110,Jaguar XF 2.0 Petrol Prestige,4650000.0,2020,1997,Automatic,13000,First Owner,Petrol,5,10.8,Sedan
1111,Maruti Vitara Brezza VDi,808000.0,2019,1248,Manual,58792,Second Owner,Diesel,5,24.3,SUV
1112,Honda City i VTEC V,479000.0,2014,1497,Manual,54759,First Owner,Petrol,5,17.4,Sedan
1113,Jaguar F-Pace Prestige 2.0 AWD,4950000.0,2019,1999,Automatic,25000,First Owner,Diesel,5,16.38,SUV
1114,Maruti SX4 S Cross Zeta DDiS 200 SH,680000.0,2018,1248,Manual,110000,First Owner,Diesel,5,25.1,SUV
1115,Hyundai Grand i10 CRDi Sportz,490000.00000000006,2016,1120,Manual,100000,First Owner,Diesel,5,24.0,Hatchback
1117,Volvo S90 D4 Momentum BSIV,3875000.0,2018,1969,Automatic,20000,First Owner,Diesel,5,18.0,Sedan
1118,Mahindra XUV300 W8 Option BSVI,1400000.0,2022,1197,Manual,10000,First Owner,Petrol,5,16.82,SUV
1119,Volkswagen Polo Diesel Highline 1.2L,190000.0,2010,1199,Manual,100000,Second Owner,Diesel,5,22.07,Hatchback
1120,Tata Altroz XZ BSVI,700000.0,2020,1199,Manual,50000,First Owner,Petrol,5,19.33,Hatchback
1121,Renault Triber RXZ Dual Tone,709000.0,2022,999,Manual,23326,First Owner,Petrol,7,20.0,MUV
1123,Maruti Alto K10 VXI,301000.0,2016,998,Manual,34597,First Owner,Petrol,5,23.95,Hatchback
1124,Hyundai i20 Magna BSVI,665000.0,2022,1197,Manual,17325,First Owner,Petrol,5,21.0,Hatchback
1125,Honda WR-V SV,738000.0,2021,1199,Manual,18985,First Owner,Petrol,5,16.5,SUV
1126,Hyundai i20 Sportz Plus CVT BSIV,734000.0,2019,1197,Automatic,23717,Second Owner,Petrol,5,17.4,Hatchback
1127,Maruti Alto 800 LXI,221000.0,2014,796,Manual,71000,Second Owner,Petrol,5,22.05,Hatchback
1128,Mahindra XUV500 AT W6 2WD,836999.9999999999,2017,2179,Automatic,108691,Third Owner,Diesel,7,16.0,SUV
1129,Tata Zest Revotron 1.2T XE,337000.0,2018,1193,Manual,104227,Third Owner,Petrol,5,17.57,Sedan
1130,Maruti Celerio VXI Optional MT BSIV,411000.00000000006,2018,998,Manual,32623,First Owner,Petrol,5,23.1,Hatchback
1131,Maruti Celerio ZXI Plus AMT BSVI,653000.0,2021,998,Automatic,1672,First Owner,Petrol,5,26.0,Hatchback
1132,Toyota Fortuner 2.8 2WD AT BSIV,3250000.0,2018,2755,Automatic,60000,First Owner,Diesel,7,12.9,SUV
1133,Volkswagen CrossPolo 1.2 TDI,340000.0,2013,1199,Manual,60000,First Owner,Diesel,5,22.07,Hatchback
1134,Maruti Swift Dzire LXi,200000.0,2009,1298,Manual,50000,Second Owner,Petrol,5,17.5,Sedan
1135,Hyundai i10 Era,185000.0,2008,1086,Manual,50000,First Owner,Petrol,5,19.81,Hatchback
1136,Maruti Wagon R LXI BS IV,270000.0,2012,998,Manual,100000,First Owner,Petrol,5,18.9,Hatchback
1137,Honda New Accord 2.4 MT,270000.0,2008,2354,Manual,60000,Second Owner,Petrol,5,12.8,Sedan
1138,Maruti Alto LXi,135000.0,2009,796,Manual,120000,Second Owner,Petrol,5,19.7,Hatchback
1139,Honda City V MT,190000.0,2009,1497,Manual,120000,Second Owner,Petrol,5,16.8,Sedan
1140,Maruti Alto 800 LXI,297000.0,2018,796,Manual,33043,First Owner,Petrol,5,22.05,Hatchback
1141,Maruti Alto 800 LXI,292000.0,2018,796,Manual,26047,Second Owner,Petrol,5,22.05,Hatchback
1142,Hyundai Grand i10 Nios AMT Sportz,629000.0,2019,1197,Automatic,39162,First Owner,Petrol,5,20.7,Hatchback
1143,Maruti Baleno 1.3 Delta,380000.0,2015,1248,Manual,51628,First Owner,Diesel,5,27.39,Hatchback
1144,Maruti Ciaz Alpha Automatic BSIV,893000.0,2019,1462,Automatic,58679,First Owner,Petrol,5,20.28,Sedan
1145,Volkswagen Polo 1.0 MPI Trendline,509000.0,2020,999,Manual,45169,First Owner,Petrol,5,17.74,Hatchback
1146,Toyota Corolla Altis G MT,977000.0,2017,1798,Manual,49531,First Owner,Petrol,5,14.28,Sedan
1147,Kia Seltos HTK G,959000.0,2021,1497,Manual,55767,First Owner,Petrol,5,16.8,SUV
1148,Maruti Wagon R LX,8000000.0,2000,998,Manual,80000,Second Owner,Petrol,5,18.9,Hatchback
1149,Maruti Swift VDI BSIV,400000.0,2014,1248,Manual,120000,First Owner,Diesel,5,25.2,Hatchback
1150,Nissan Micra Active XL Petrol,550000.0,2018,1198,Manual,40000,Second Owner,Petrol,5,19.49,Hatchback
1151,Skoda Rapid 1.5 TDI Elegance Plus Black Package,409999.99999999994,2015,1498,Manual,120000,First Owner,Diesel,5,21.14,Sedan
1152,Tata New Safari DICOR 2.2 LX 4x2 BS IV,275000.0,2012,2179,Manual,90000,Second Owner,Diesel,7,13.93,SUV
1153,Datsun GO NXT,135000.0,2016,1198,Manual,150000,Third Owner,Petrol,5,20.63,Hatchback
1154,Maruti Alto K10 LXI CNG Optional,300000.0,2018,998,Manual,110000,Third Owner,CNG,4,32.26,Hatchback
1155,Hyundai i20 Sportz 1.4 CRDi,490000.00000000006,2017,1396,Manual,90000,First Owner,Diesel,5,22.54,Hatchback
1156,Mahindra XUV500 W6 2WD,600000.0,2013,2179,Manual,120000,First Owner,Diesel,7,15.1,SUV
1158,Renault Duster 85PS Diesel RxE,370000.0,2013,1461,Manual,100000,First Owner,Diesel,5,20.45,SUV
1159,Chevrolet Cruze LTZ,350000.0,2013,1998,Manual,150000,Second Owner,Diesel,5,17.3,Sedan
1160,Maruti Swift Dzire VDi,250000.0,2011,1248,Manual,100000,Second Owner,Diesel,5,19.3,Sedan
1161,Hyundai i10 Sportz 1.1L,229999.99999999997,2013,1086,Manual,90000,Fourth Owner,Petrol,5,19.81,Hatchback
1162,Maruti Swift Dzire VDI,509999.99999999994,2015,1248,Manual,80000,First Owner,Diesel,5,26.59,Sedan
1163,Toyota Etios GD,250000.0,2011,1364,Manual,100000,First Owner,Diesel,5,23.59,Sedan
1164,Tata Nexon XZA Plus AMT BSVI,1090000.0,2021,1199,Automatic,10000,First Owner,Petrol,5,17.05,SUV
1165,Honda Amaze S BSVI,715000.0,2021,1199,Manual,10000,First Owner,Petrol,5,18.6,Sedan
1166,Maruti Eeco 5 Seater AC 2020-2022,500000.0,2022,1196,Manual,20000,First Owner,Petrol,5,16.11,Maruti
1167,Ford Aspire 1.5 TDCi Ambiente,350000.0,2016,1498,Manual,100000,First Owner,Diesel,5,25.83,Sedan
1168,Ford Aspire 1.5 TDCi Ambiente,350000.0,2016,1498,Manual,100000,First Owner,Diesel,5,25.83,Sedan
1169,Maruti Alto 800 LXI,254999.99999999997,2015,796,Manual,40000,Second Owner,Petrol,5,22.74,Hatchback
1170,Jeep Compass 2.0 Limited 4X4,1500000.0,2018,1956,Manual,80000,First Owner,Diesel,5,16.3,SUV
1171,Skoda Yeti Ambition 4X2,400000.0,2013,1968,Manual,120000,Third Owner,Diesel,5,17.72,SUV
1172,Toyota Etios GD,425000.0,2015,1364,Manual,120000,First Owner,Diesel,5,23.59,Sedan
1173,Maruti Swift Dzire VXI BSVI,700000.0,2020,1197,Manual,40000,First Owner,Petrol,5,22.41,Sedan
1174,Maruti Alto LXi BSIII,128000.0,2008,796,Manual,90000,First Owner,Petrol,5,19.7,Hatchback
1175,Maruti Alto K10 VXI,295000.0,2019,998,Manual,30000,Second Owner,Petrol,5,23.95,Hatchback
1176,Fiat Punto 1.2 Active,350000.0,2016,1172,Manual,120000,First Owner,Petrol,5,15.7,Hatchback
1177,Mahindra XUV500 W6 2WD,630000.0,2013,2179,Manual,70000,First Owner,Diesel,7,15.1,SUV
1178,Hyundai Venue SX Turbo BSIV,900000.0,2020,998,Manual,30000,First Owner,Petrol,5,18.27,SUV
1179,Chevrolet Cruze LTZ,350000.0,2013,1998,Manual,150000,Second Owner,Diesel,5,17.3,Sedan
1181,Ford Ecosport 1.5 TDCi Titanium BSIV,365000.0,2015,1498,Manual,120000,First Owner,Diesel,5,22.77,SUV
1182,Hyundai i20 Petrol Magna,520000.0,2019,1197,Manual,60000,First Owner,Petrol,5,18.6,Hatchback
1183,Datsun RediGO T Option,170000.0,2018,799,Manual,120000,First Owner,Petrol,5,22.7,Hatchback
1184,Hyundai Creta 1.4 E Plus CRDi,869999.9999999999,2019,1396,Manual,40000,First Owner,Diesel,5,22.1,SUV
1185,Tata Nexon 1.5 Revotorq XZ Plus,550000.0,2017,1497,Manual,90000,Second Owner,Diesel,5,21.5,SUV
1186,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,630000.0,2012,2494,Manual,100000,Third Owner,Diesel,7,12.99,MUV
1187,Maruti Vitara Brezza LDi Option,640000.0,2016,1248,Manual,80000,First Owner,Diesel,5,24.3,SUV
1188,Maruti Vitara Brezza LDi Option,640000.0,2016,1248,Manual,80000,First Owner,Diesel,5,24.3,SUV
1189,Maruti Swift VDi BSIII W/ ABS,240000.0,2010,1248,Manual,110000,Second Owner,Diesel,5,17.8,Hatchback
1190,Toyota Innova 2.5 V Diesel 7-seater,260000.0,2006,2494,Manual,150000,Second Owner,Diesel,7,12.8,Toyota
1191,Renault Kiger RXZ Turbo CVT,735000.0,2022,999,Automatic,821,First Owner,Petrol,5,18.24,SUV
1192,Audi A6 35 TDI,2800000.0,2015,1968,Automatic,20331,Second Owner,Diesel,5,18.53,Sedan
1193,Maruti SX4 VDI,280000.0,2012,1248,Manual,98473,Third Owner,Diesel,5,21.5,Sedan
1194,Maruti Swift AMT VXI,670000.0,2020,1197,Automatic,41795,First Owner,Petrol,5,21.21,Hatchback
1195,Kia Sonet HTX Turbo iMT BSVI,1100000.0,2020,998,Manual,13103,First Owner,Petrol,5,18.2,SUV
1196,Tata Altroz XE BSVI,550000.0,2021,1199,Manual,15761,Second Owner,Petrol,5,19.33,Hatchback
1197,Mahindra XUV500 W8 FWD,800000.0,2014,2179,Manual,92509,Second Owner,Diesel,7,15.1,SUV
1198,Hyundai i10 Magna 1.2 iTech SE,250000.0,2011,1197,Manual,51086,Second Owner,Petrol,5,20.36,Hatchback
1199,Mahindra XUV500 W8 2WD,800000.0,2014,2179,Manual,87840,First Owner,Diesel,7,15.1,SUV
1200,Maruti Swift Dzire VXI BSVI,700000.0,2021,1197,Manual,3734,First Owner,Petrol,5,22.41,Sedan
1201,Hyundai i10 Magna 1.1L,210000.0,2010,1086,Manual,40004,Second Owner,Petrol,5,19.81,Hatchback
1202,Toyota Innova Crysta 2.8 GX AT 8S BSIV,2095000.0,2018,2755,Automatic,59245,Second Owner,Diesel,8,11.36,MUV
1203,Kia Sonet HTK Plus BSVI,850000.0,2021,1197,Manual,40233,Second Owner,Petrol,5,18.4,SUV
1204,Renault Triber RXZ EASY-R AMT BSVI,700000.0,2020,999,Automatic,46963,First Owner,Petrol,7,18.2,MUV
1205,Volkswagen Polo Diesel Highline 1.2L,300000.0,2012,1199,Manual,82690,Third Owner,Diesel,5,22.07,Hatchback
1206,Honda City GXi,300000.0,2006,1497,Manual,11111,Second Owner,Petrol,5,17.7,Sedan
1207,Hyundai Grand i10 1.2 Kappa Asta,640000.0,2019,1197,Manual,21061,Second Owner,Petrol,5,18.9,Hatchback
1208,Hyundai i20 Sportz 1.2,700000.0,2017,1197,Manual,49691,First Owner,Petrol,5,18.6,Hatchback
1209,Maruti Eeco 5 Seater Standard BSIV,114999.99999999999,2013,1196,Manual,96499,Second Owner,Petrol,5,15.37,Maruti
1210,Maruti Alto 800 LXI,200000.0,2014,796,Manual,38459,Second Owner,Petrol,5,22.74,Hatchback
1211,Maruti Swift Dzire ZDi,200000.0,2008,1248,Manual,107594,First Owner,Diesel,5,19.3,Sedan
1212,Maruti Swift Dzire VXI,500000.0,2013,1197,Manual,65713,Second Owner,Petrol,5,19.1,Sedan
1213,Honda WR-V i-VTEC VX,1050000.0,2019,1199,Manual,74862,First Owner,Petrol,5,17.5,SUV
1214,Hyundai i20 Asta 1.4 CRDi,600000.0,2016,1396,Manual,107558,First Owner,Diesel,5,22.54,Hatchback
1215,Mahindra XUV500 W11 Option AT,1400000.0,2021,2179,Automatic,6954,First Owner,Diesel,7,15.1,SUV
1216,Maruti Celerio VXI AT,425000.0,2014,998,Automatic,14702,First Owner,Petrol,5,23.1,Hatchback
1217,Maruti Baleno 1.2 CVT Alpha,500000.0,2017,1197,Automatic,54614,Fourth Owner,Petrol,5,21.4,Hatchback
1218,Volkswagen Vento Petrol Highline,385000.0,2010,1598,Manual,62159,Third Owner,Petrol,5,15.04,Sedan
1219,Tata Hexa XTA,1300000.0,2018,2179,Automatic,38561,Second Owner,Diesel,7,17.6,MUV
1220,Hyundai Grand i10 1.2 Kappa Sportz BSIV,614000.0,2019,1197,Manual,30944,First Owner,Petrol,5,18.9,Hatchback
1221,Hyundai Santro Xing XG,150000.0,2004,1086,Manual,54749,First Owner,Petrol,5,17.0,Hatchback
1222,Renault Duster Petrol RXS CVT,900000.0,2017,1498,Automatic,27212,First Owner,Petrol,5,14.99,SUV
1223,Tata Nexon 1.2 Revotron XE,700000.0,2018,1198,Manual,20379,Second Owner,Petrol,5,17.0,SUV
1224,Maruti Ritz VXi,400000.0,2014,1197,Manual,71958,Second Owner,Petrol,5,18.5,Hatchback
1225,Renault KWID 1.0 AMT RXT,320000.0,2016,999,Automatic,22836,Second Owner,Petrol,5,24.04,Hatchback
1226,BMW 3 Series 320d Prestige,778000.0,2014,1995,Automatic,64665,Second Owner,Diesel,5,18.88,Sedan
1227,Volkswagen Vento 1.5 TDI Highline AT,401000.0,2015,1498,Automatic,120580,Second Owner,Diesel,5,21.21,Sedan
1228,Hyundai i20 Sportz Plus BSIV,606000.0,2019,1197,Manual,28709,First Owner,Petrol,5,18.6,Hatchback
1229,Hyundai Creta 1.4 E Plus CRDi,432000.0,2017,1396,Manual,143867,First Owner,Diesel,5,22.1,SUV
1230,Hyundai Grand i10 Magna,323000.0,2014,1197,Manual,9436,First Owner,Petrol,5,18.9,Hatchback
1232,Volkswagen Vento 1.5 TDI Highline AT,543000.0,2016,1498,Automatic,71973,First Owner,Diesel,5,22.15,Sedan
1233,Nissan Sunny Diesel XV,185000.0,2012,1461,Manual,89218,Second Owner,Diesel,5,21.64,Sedan
1234,Maruti Wagon R VXI Opt 1.2BSIV,362000.0,2019,1197,Manual,44629,First Owner,Petrol,5,21.5,Hatchback
1235,Maruti Ignis Sigma BSVI,529000.0,2022,1197,Manual,7754,First Owner,Petrol,5,20.89,Hatchback
1236,Mahindra XUV500 AT W10 FWD,659000.0,2016,2179,Automatic,111269,Third Owner,Diesel,7,16.0,SUV
1237,Maruti Ignis 1.2 AMT Alpha BSIV,409999.99999999994,2018,1197,Automatic,45574,First Owner,Petrol,5,20.89,Hatchback
1238,Maruti Swift Dzire VXI,317000.0,2017,1197,Manual,36451,First Owner,Petrol,5,20.85,Sedan
1239,Renault KWID RXT,145000.0,2015,799,Manual,20066,Second Owner,Petrol,5,25.17,Hatchback
1240,Hyundai Verna SX Diesel,902999.9999999999,2020,1493,Manual,56488,First Owner,Diesel,5,25.0,Sedan
1241,Hyundai Elantra S,347000.0,2013,1797,Manual,48112,Third Owner,Petrol,5,16.3,Sedan
1242,Maruti Wagon R LXI Minor,8500000.0,2008,1061,Manual,62527,First Owner,Petrol,5,18.9,Hatchback
1243,Maruti Ritz LXi,9800000.0,2011,1197,Manual,42198,Second Owner,Petrol,5,18.5,Hatchback
1244,Volkswagen Vento 1.5 TDI Highline,397000.0,2015,1498,Manual,169259,First Owner,Diesel,5,20.34,Sedan
1245,Maruti Swift ZXI Plus DT BSVI,723000.0,2021,1197,Manual,27210,First Owner,Petrol,5,22.38,Hatchback
1246,Hyundai i20 1.2 Asta,350000.0,2011,1197,Manual,46071,First Owner,Petrol,5,17.0,Hatchback
1247,Honda Amaze S i-Dtech,400000.0,2013,1498,Manual,78805,Second Owner,Diesel,5,25.8,Sedan
1248,Kia Seltos GTX Option,1550000.0,2021,1353,Manual,11312,First Owner,Petrol,5,16.5,SUV
1250,Volkswagen Vento Diesel Trendline,208000.0,2011,1598,Manual,142236,Second Owner,Diesel,5,20.54,Sedan
1251,Chevrolet Cruze LTZ,409000.0,2010,1991,Manual,132375,Third Owner,Diesel,5,18.3,Sedan
1252,Maruti Zen LXI,8400000.0,2002,993,Manual,80728,Second Owner,Petrol,5,17.3,Hatchback
1253,Volkswagen Vento 1.6 Highline,550000.0,2016,1598,Manual,70594,First Owner,Petrol,5,16.09,Sedan
1254,Hyundai Xcent 1.2 Kappa S,450000.0,2016,1197,Manual,32443,First Owner,Petrol,5,19.1,Sedan
1255,Mercedes-Benz B Class B180 Sports,1028999.9999999999,2012,1595,Automatic,43277,Second Owner,Petrol,5,11.9,Hatchback
1256,Renault KWID 1.0 RXT Opt,500000.0,2022,999,Manual,9857,First Owner,Petrol,5,21.74,Hatchback
1257,Skoda Octavia Ambition 2.0 TDI AT,1115000.0,2014,1968,Automatic,27277,First Owner,Diesel,5,19.3,Sedan
1258,Renault Duster RXZ,1100000.0,2021,1498,Manual,12912,First Owner,Petrol,5,16.42,SUV
1259,Ford Ikon 1.6 Nxt,7000000.0,2005,1597,Manual,56609,First Owner,Petrol,5,14.2,Sedan
1260,Mahindra TUV 300 T8 AMT,601000.0,2015,1493,Automatic,58416,Second Owner,Diesel,7,18.49,SUV
1261,Jeep Compass 2.0 Limited Plus BSIV,1449000.0,2019,1956,Manual,39318,First Owner,Diesel,5,17.1,SUV
1262,Maruti Wagon R LXI Minor,8000000.0,2008,1061,Manual,43537,First Owner,Petrol,5,18.9,Hatchback
1263,Ford Figo 1.2P Trend MT,400000.0,2017,1196,Manual,31610,Second Owner,Petrol,5,18.16,Hatchback
1264,Maruti SX4 VXI,195000.0,2009,1586,Manual,69183,Second Owner,Petrol,5,15.5,Sedan
1265,Fiat Linea T-Jet,875000.0,2014,1368,Manual,48668,First Owner,Petrol,5,14.6,Sedan
1266,Maruti Swift 1.3 VXi,8300000.0,2006,1298,Manual,120921,Second Owner,Petrol,5,16.1,Hatchback
1267,Hyundai Verna 1.6 CRDI,470000.0,2012,1582,Manual,78344,First Owner,Diesel,5,22.32,Sedan
1268,Renault Duster 110PS Diesel RxL,500000.0,2015,1461,Manual,189429,First Owner,Diesel,5,19.01,SUV
1269,Volkswagen Polo Diesel Comfortline 1.2L,350000.0,2012,1199,Manual,52608,Third Owner,Diesel,5,22.07,Hatchback
1270,Maruti Swift AMT ZXI Plus,800000.0,2019,1197,Automatic,15711,First Owner,Petrol,5,21.21,Hatchback
1271,Skoda Rapid 1.6 TDI Elegance,385000.0,2012,1598,Manual,108356,First Owner,Diesel,5,20.5,Sedan
1272,Toyota Innova 2.5 VX (Diesel) 8 Seater,869000.0,2012,2494,Manual,137025,Second Owner,Diesel,8,12.99,MUV
1273,Mahindra XUV500 W6 2WD,1000000.0,2017,2179,Manual,102229,First Owner,Diesel,7,16.0,SUV
1274,Maruti Swift VDI,400000.0,2013,1248,Manual,93118,Second Owner,Diesel,5,22.9,Hatchback
1275,Tata Nexon XZ Plus (O) BSVI,1200000.0,2021,1199,Manual,4005,First Owner,Petrol,5,17.57,SUV
1276,Maruti Swift Vdi BSIII,290000.0,2010,1248,Manual,147667,Second Owner,Diesel,5,17.8,Hatchback
1277,Maruti Ertiga ZDI,650000.0,2013,1248,Manual,96877,First Owner,Diesel,7,20.77,MUV
1278,Ford Ecosport S Diesel BSIV,900000.0,2019,1498,Manual,54123,First Owner,Diesel,5,23.0,SUV
1279,Tata Hexa XM,1300000.0,2019,2179,Manual,31290,First Owner,Diesel,7,17.6,MUV
1280,Volkswagen Polo Diesel Highline 1.2L,344000.0,2012,1199,Manual,91128,Fourth Owner,Diesel,5,22.07,Hatchback
