,full_name,brand,resale_price,registered_year,engine_capacity,kms_driven,owner_type,transmission_type,fuel_type,mileage,body_type,seats
1740,Maruti Celerio VXI CNG,Maruti,505000.0,2020,998.0,40960,First Owner,Manual,CNG,35.6,Hatchback,5
1741,Tata Nexon XZA Plus DT Roof (O) AMT,Tata,1043000.0,2021,1199.0,24218,First Owner,Automatic,Petrol,16.35,SUV,5
1742,Tata Tiago XT BSVI,Tata,493000.0,2020,1199.0,68843,First Owner,Manual,Petrol,19.01,Hatchback,5
1743,Maruti Ciaz 1.4 S,Maruti,665000.0,2017,1373.0,74557,First Owner,Manual,Petrol,20.73,Sedan,5
1744,Hyundai Grand i10 Nios Sportz Dual Tone,Hyundai,660000.0,2021,1197.0,36657,First Owner,Manual,Petrol,20.7,Hatchback,5
1745,Hyundai i10 Sportz 1.1L,Hyundai,332000.0,2016,1086.0,70593,First Owner,Manual,Petrol,19.81,Hatchback,5
1746,Maruti Baleno 1.2 Delta,Maruti,564000.0,2019,1197.0,64891,Second Owner,Manual,Petrol,21.4,Hatchback,5
1747,Honda Amaze VX i DTEC,Honda,625000.0,2018,1498.0,80000,First Owner,Manual,Diesel,25.8,Sedan,5
1748,Renault KWID 1.0 RXT Optional,Renault,360000.0,2017,999.0,50000,First Owner,Manual,Petrol,23.01,Hatchback,5
1749,Maruti Vitara Brezza VXI,Maruti,894999.9999999999,2022,1462.0,20000,First Owner,Manual,Petrol,17.03,SUV,5
1750,Maruti 800 AC Uniq,Maruti,7500000.0,2008,796.0,50000,First Owner,Manual,Petrol,16.1,Hatchback,4
1751,Maruti SX4 Vxi BSIII,Maruti,5000000.0,2007,1586.0,120000,Second Owner,Manual,Petrol,15.0,Maruti,5
1752,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,240000.0,2013,1199.0,70000,Third Owner,Manual,Diesel,22.07,Hatchback,5
1753,Jaguar XF 2.2 Litre Luxury,Jaguar,1400000.0,2013,2179.0,70000,Second Owner,Automatic,Diesel,16.36,Sedan,5
1754,Hyundai i10 Era 1.1,Hyundai,180000.0,2010,1086.0,100000,Fourth Owner,Manual,Petrol,19.81,Hatchback,5
1755,Maruti Alto 800 LXI CNG,Maruti,352000.0,2019,796.0,63515,First Owner,Manual,CNG,33.0,Hatchback,5
1756,Renault KWID RXT Optional,Renault,390000.0,2018,799.0,29771,First Owner,Manual,Petrol,25.17,Hatchback,5
1757,Maruti Vitara Brezza ZXI,Maruti,875000.0,2020,1462.0,49848,First Owner,Manual,Petrol,17.03,SUV,5
1758,Maruti S-Presso VXI CNG 2019-2020,Maruti,546000.0,2022,998.0,18484,First Owner,Manual,CNG,31.2,Hatchback,4
1759,Hyundai Grand i10 1.2 Kappa Magna BSIV,Hyundai,426000.0,2018,1197.0,96534,First Owner,Manual,Petrol,18.9,Hatchback,5
1760,Maruti SX4 S Cross Alpha,Maruti,1079000.0,2020,1462.0,11063,First Owner,Manual,Petrol,18.55,SUV,5
1761,Hyundai Grand i10 1.2 Kappa Sportz Option,Hyundai,442000.0,2017,1197.0,85374,First Owner,Manual,Petrol,18.9,Hatchback,5
1762,Maruti S-Presso VXI Plus 2019-2022,Maruti,364000.0,2019,998.0,93516,First Owner,Manual,Petrol,21.7,Hatchback,5
1763,Honda CR-V 2.4L 4WD AT,Honda,1390000.0,2015,2354.0,48350,First Owner,Automatic,Petrol,12.0,SUV,5
1764,Honda Amaze E Diesel BSIV,Honda,320000.0,2016,1498.0,100000,Fourth Owner,Manual,Diesel,27.4,Sedan,5
1765,Hyundai i10 Era 1.1,Hyundai,180000.0,2010,1086.0,100000,Fourth Owner,Manual,Petrol,19.81,Hatchback,5
1766,Hyundai Santro Sportz BSIV,Hyundai,420000.0,2019,1086.0,30000,First Owner,Manual,Petrol,20.3,Hatchback,5
1767,Honda City 1.5 S MT,Honda,320000.0,2011,1497.0,120000,Second Owner,Manual,Petrol,17.0,Sedan,5
1768,Renault KWID 1.0 RXT 02 Anniversary Edition,Renault,225000.0,2017,999.0,40000,First Owner,Manual,Petrol,23.01,Hatchback,5
1769,Tata New Safari DICOR 2.2 EX 4x2 BS IV,Tata,250000.0,2011,2179.0,120000,First Owner,Manual,Diesel,13.93,SUV,7
1770,Maruti Swift Dzire VXI BSVI,Maruti,699000.0,2021,1197.0,50000,First Owner,Manual,Petrol,22.41,Sedan,5
1771,Maruti Eeco CNG 5 Seater AC,Maruti,655000.0,2022,1196.0,30000,First Owner,Manual,CNG,20.88,Minivans,5
1772,Tata Nano Lx,Tata,6000000.0,2011,624.0,30000,Third Owner,Manual,Petrol,26.0,Hatchback,4
1773,Maruti Swift Dzire VDI,Maruti,490000.00000000006,2015,1248.0,70000,First Owner,Manual,Diesel,26.59,Sedan,5
1774,Mahindra Thar CRDe AC,Mahindra,500000.0,2011,2498.0,90000,Second Owner,Manual,Diesel,16.55,SUV,6
1775,Skoda Laura 1.9 TDI MT Ambiente,Skoda,250000.0,2009,1896.0,150000,Third Owner,Manual,Diesel,17.0,Sedan,5
1776,Tata Harrier XZ BSIV,Tata,1470000.0,2020,1956.0,100000,First Owner,Manual,Diesel,17.0,SUV,5
1777,Maruti Wagon R VXI BS IV,Maruti,400000.0,2016,998.0,100000,First Owner,Manual,Petrol,20.51,Hatchback,5
1778,Tata Indigo LS,Tata,150000.0,2012,1405.0,60000,Second Owner,Manual,Diesel,17.0,Sedan,5
1779,Renault Duster 85PS Diesel RxS,Renault,650000.0,2018,1461.0,60000,Second Owner,Manual,Diesel,19.87,SUV,5
1780,Renault KWID RXT,Renault,445000.0,2021,799.0,60000,First Owner,Manual,Petrol,22.3,Hatchback,5
1781,Honda City i-VTEC V,Honda,980000.0000000001,2019,1497.0,80000,First Owner,Manual,Petrol,17.4,Sedan,5
1782,Toyota Fortuner 4x2 Manual,Toyota,1555000.0,2013,2982.0,150000,First Owner,Manual,Diesel,13.0,SUV,7
1783,Hyundai Grand i10 Nios AMT Sportz,Hyundai,750000.0,2022,1197.0,10000,First Owner,Automatic,Petrol,20.7,Hatchback,5
1784,Hyundai Grand i10 Nios AMT Sportz,Hyundai,750000.0,2022,1197.0,10000,First Owner,Automatic,Petrol,20.7,Hatchback,5
1785,Honda WR-V i-DTEC VX,Honda,900000.0,2019,1498.0,80000,First Owner,Manual,Diesel,25.5,SUV,5
1786,Mahindra XUV500 W8 2WD,Mahindra,400000.0,2012,2179.0,110000,Second Owner,Manual,Diesel,15.1,SUV,7
1787,Hyundai Grand i10 Sportz,Hyundai,425000.0,2016,1197.0,40000,First Owner,Manual,Petrol,18.9,Hatchback,5
1788,Volkswagen Polo 1.0 MPI Trendline,Volkswagen,475000.0,2018,999.0,60000,First Owner,Manual,Petrol,18.78,Hatchback,5
1789,Hyundai Verna 1.4 CRDi,Hyundai,325000.0,2012,1396.0,120000,First Owner,Manual,Diesel,24.8,Sedan,5
1790,Hyundai Grand i10 Nios Magna CRDi Corp Edition,Hyundai,685000.0,2022,1186.0,10000,First Owner,Manual,Diesel,26.2,Hatchback,5
1791,Hyundai Grand i10 AT Sportz,Hyundai,425000.0,2014,1197.0,50000,Second Owner,Automatic,Petrol,18.9,Hatchback,5
1792,Maruti Swift Dzire VDI,Maruti,500000.0,2015,1248.0,110000,Third Owner,Manual,Diesel,26.59,Sedan,5
1793,Jeep Compass 1.4 Limited,Jeep,1400000.0,2018,1368.0,20000,First Owner,Automatic,Petrol,16.0,SUV,5
1794,Audi Q7 45 TDI Quattro Premium Plus,Audi,3600000.0,2017,2967.0,150000,First Owner,Automatic,Diesel,14.75,SUV,7
1795,Tata Indigo CR4,Tata,200000.0,2011,1396.0,120000,First Owner,Manual,Diesel,23.57,Sedan,5
1796,Maruti Ciaz Delta BSVI,Maruti,800000.0,2020,1462.0,60000,First Owner,Manual,Petrol,20.65,Sedan,5
1797,Tata Indica Aqua 1.3 Quadrajet (ABS),Tata,200000.0,2013,1248.0,120000,First Owner,Manual,Diesel,18.0,Hatchback,5
1798,Maruti Ertiga ZDI,Maruti,450000.0,2012,1248.0,70000,Third Owner,Manual,Diesel,20.77,MUV,7
1799,Volkswagen Polo Diesel Comfortline 1.2L,Volkswagen,300000.0,2012,1199.0,100000,First Owner,Manual,Diesel,22.07,Hatchback,5
1800,Hyundai EON D Lite Plus,Hyundai,145000.0,2013,814.0,70000,Second Owner,Manual,Petrol,21.1,Hatchback,5
1801,Hyundai Grand i10 Nios Sportz,Hyundai,590000.0,2020,1197.0,40000,Second Owner,Manual,Petrol,20.7,Hatchback,5
1802,Honda City GXi,Honda,170000.0,2008,1497.0,120000,First Owner,Manual,Petrol,17.7,Sedan,5
1803,Toyota Fortuner 3.0 Diesel,Toyota,815000.0,2010,2982.0,120000,Second Owner,Manual,Diesel,11.5,SUV,7
1804,Maruti Swift Dzire LXI,Maruti,250000.0,2012,1197.0,80000,Third Owner,Manual,Petrol,19.1,Sedan,5
1805,Hyundai Santro Sportz BSIV,Hyundai,445000.0,2019,1086.0,30000,First Owner,Manual,Petrol,20.3,Hatchback,5
1806,Chevrolet Aveo U-VA 1.2 LS,Chevrolet,9000000.0,2007,1150.0,60000,First Owner,Manual,Petrol,15.26,Hatchback,5
1807,Maruti Swift Dzire VXI BSVI,Maruti,500000.0,2020,1197.0,120000,First Owner,Manual,Petrol,22.41,Sedan,5
1808,Hyundai Grand i10 1.2 CRDi Asta,Hyundai,500000.0,2019,1186.0,90000,Second Owner,Manual,Diesel,24.0,Hatchback,5
1809,Volkswagen Polo Petrol Comfortline 1.2L,Volkswagen,300000.0,2011,1198.0,70000,First Owner,Manual,Petrol,16.47,Hatchback,5
1810,Audi A6 2.0 TDI Premium Plus,Audi,1450000.0,2013,1968.0,40000,Second Owner,Automatic,Diesel,17.68,Sedan,5
1811,Renault Triber RXZ BSVI,Renault,670000.0,2020,999.0,30000,First Owner,Manual,Petrol,20.0,MUV,7
1812,Mahindra Scorpio VLX 4WD 7S BSIV,Mahindra,520000.0,2013,2179.0,70000,Third Owner,Manual,Diesel,12.05,SUV,7
1813,Maruti A-Star Vxi,Maruti,225000.0,2012,998.0,50000,First Owner,Manual,Petrol,19.0,Hatchback,5
1814,Maruti A-Star Vxi,Maruti,225000.0,2012,998.0,50000,First Owner,Manual,Petrol,19.0,Hatchback,5
1815,Renault KWID RXT Optional,Renault,300000.0,2019,799.0,40000,First Owner,Manual,Petrol,25.17,Hatchback,5
1816,Maruti Baleno Zeta,Maruti,680000.0,2020,1197.0,70000,Second Owner,Manual,Petrol,21.01,Hatchback,5
1817,Maruti Baleno Zeta,Maruti,680000.0,2020,1197.0,70000,Second Owner,Manual,Petrol,21.01,Hatchback,5
1818,Skoda Superb Laurin & klement BSVI,Skoda,3000000.0,2020,1984.0,50000,First Owner,Automatic,Petrol,15.1,Sedan,5
1819,Ford Figo Diesel Celebration Edition,Ford,147000.0,2012,1399.0,60000,Third Owner,Manual,Diesel,20.0,Hatchback,5
1820,Mahindra XUV300 W8 BSIV,Mahindra,1019999.9999999999,2019,1197.0,60000,First Owner,Manual,Petrol,17.0,SUV,5
1821,Mahindra XUV300 W8 Diesel BSIV,Mahindra,1000000.0,2019,1497.0,60000,First Owner,Manual,Diesel,20.0,SUV,5
1822,Honda Amaze E i-VTEC,Honda,530000.0,2018,1198.0,30000,Second Owner,Manual,Petrol,17.8,Sedan,5
1823,Hyundai Santa Fe 2WD AT,Hyundai,750000.0,2014,2199.0,90000,First Owner,Automatic,Diesel,13.01,SUV,7
1824,BMW 3 Series 320d Prestige,BMW,975000.0,2013,1995.0,70000,Second Owner,Automatic,Diesel,18.88,Sedan,5
1825,Maruti Swift Dzire LDI Optional,Maruti,295000.0,2015,1248.0,120000,Second Owner,Manual,Diesel,26.59,Sedan,5
1826,Renault KWID 1.0 RXT Optional AT 2016-2019,Renault,370000.0,2019,999.0,30000,Second Owner,Automatic,Petrol,23.01,Hatchback,5
1827,Tata Zest Revotron 1.2 XT,Tata,300000.0,2016,1193.0,120000,Second Owner,Manual,Petrol,17.57,Sedan,5
1828,MG Hector Sharp Diesel MT BSIV,MG,1550000.0,2020,1956.0,60000,First Owner,Manual,Diesel,17.41,SUV,5
1829,Honda CR-V RVi MT,Honda,180000.0,2008,2354.0,120000,Third Owner,Manual,Petrol,13.1,SUV,5
1830,Hyundai Verna 1.6 CRDi S,Hyundai,650000.0,2016,1582.0,90000,Third Owner,Manual,Diesel,23.9,Sedan,5
1831,Chevrolet Spark 1.0 LS LPG,Chevrolet,160000.0,2011,995.0,70000,Second Owner,Manual,LPG,16.0,Hatchback,5
1832,Maruti Vitara Brezza LXI,Maruti,750000.0,2020,1462.0,50000,First Owner,Manual,Petrol,17.03,SUV,5
1833,Skoda Fabia 1.2 MPI Ambiente Petrol,Skoda,200000.0,2010,1198.0,100000,Second Owner,Manual,Petrol,17.5,Hatchback,5
1834,Hyundai i20 1.4 CRDi Magna,Hyundai,175000.0,2012,1396.0,90000,Fifth Owner,Manual,Diesel,21.9,Hatchback,5
1835,Hyundai i20 1.4 CRDi Magna,Hyundai,175000.0,2012,1396.0,90000,Fifth Owner,Manual,Diesel,21.9,Hatchback,5
1836,Maruti Wagon R LXI DUO BSIII,Maruti,140000.0,2010,1061.0,80000,Second Owner,Manual,LPG,17.3,Hatchback,5
1837,Maruti Baleno Zeta BSVI,Maruti,850000.0,2022,1197.0,30000,First Owner,Manual,Petrol,22.35,Hatchback,5
1838,Tata Nano Lx,Tata,5500000.0,2011,624.0,30000,Third Owner,Manual,Petrol,26.0,Hatchback,4
1839,Toyota Innova 2.5 VX (Diesel) 7 Seater BS IV,Toyota,650000.0,2014,2494.0,120000,First Owner,Manual,Diesel,12.99,MUV,7
1840,Maruti Baleno Zeta,Maruti,700000.0,2021,1197.0,30000,First Owner,Manual,Petrol,21.01,Hatchback,5
1841,Ford Figo Diesel Titanium,Ford,190000.0,2014,1399.0,120000,Second Owner,Manual,Diesel,20.0,Hatchback,5
1842,Chevrolet Beat PS,Chevrolet,100000.0,2011,1199.0,120000,Fourth Owner,Manual,Petrol,18.6,Hatchback,5
1843,Maruti Ritz VDi,Maruti,200000.0,2010,1248.0,90000,Second Owner,Manual,Diesel,21.1,Hatchback,5
1844,Maruti Alto K10 2010-2014 VXI,Maruti,245000.00000000003,2012,998.0,40000,Second Owner,Manual,Petrol,20.92,Hatchback,5
1845,Maruti Swift Dzire AMT ZXI,Maruti,750000.0,2020,1197.0,50000,First Owner,Automatic,Petrol,21.21,Sedan,5
1846,Honda New Accord 2.4 MT,Honda,244000.0,2008,2354.0,150000,Second Owner,Manual,Petrol,12.8,Sedan,5
1847,Mahindra Scorpio S2 9 Seater,Mahindra,600000.0,2015,2523.0,120000,Second Owner,Manual,Diesel,15.4,SUV,9
1848,Honda Amaze E Petrol BSIV,Honda,610000.0,2019,1199.0,10000,First Owner,Manual,Petrol,19.5,Sedan,5
1849,Tata New Safari DICOR 2.2 EX 4x2,Tata,300000.0,2012,2179.0,80000,First Owner,Manual,Diesel,11.57,SUV,7
1850,Maruti Swift Dzire VXI BSVI,Maruti,725000.0,2020,1197.0,20000,Second Owner,Manual,Petrol,22.41,Sedan,5
1851,Hyundai Verna 1.6 CRDi S Option,Hyundai,459999.99999999994,2016,1582.0,120000,Second Owner,Manual,Diesel,23.9,Sedan,5
1852,Hyundai Verna 1.6 SX CRDi (O),Hyundai,450000.0,2015,1582.0,120000,Second Owner,Manual,Diesel,22.32,Sedan,5
1853,Mahindra Bolero SLX 4WD BSIII,Mahindra,320000.0,2010,2523.0,120000,Fifth Owner,Manual,Diesel,13.6,MUV,7
1854,Maruti 800 AC,Maruti,3500000.0,2004,796.0,80000,First Owner,Manual,Petrol,16.1,Hatchback,4
1855,Hyundai i20 Asta Option 1.4 CRDi,Hyundai,550000.0,2015,1396.0,110000,Second Owner,Manual,Diesel,22.54,Hatchback,5
1856,Nissan Micra XV,Nissan,300000.0,2010,1198.0,70000,Second Owner,Manual,Petrol,18.06,Hatchback,5
1857,Chevrolet Beat Diesel LS,Chevrolet,190000.0,2015,936.0,110000,First Owner,Manual,Diesel,25.44,Hatchback,5
1858,Maruti Swift LDI,Maruti,350000.0,2013,1248.0,80000,First Owner,Manual,Diesel,22.9,Hatchback,5
1859,Honda City 1.5 S MT,Honda,250000.0,2009,1497.0,100000,Third Owner,Manual,Petrol,17.0,Sedan,5
1860,Chevrolet Cruze LTZ AT,Chevrolet,350000.0,2012,1991.0,80000,First Owner,Automatic,Diesel,18.1,Sedan,5
1861,Maruti Alto K10 VXI,Maruti,370000.0,2018,998.0,50000,Second Owner,Manual,Petrol,23.95,Hatchback,5
1862,Maruti Alto K10 VXI,Maruti,370000.0,2018,998.0,50000,Second Owner,Manual,Petrol,23.95,Hatchback,5
1863,Maruti Swift LDI,Maruti,400000.0,2013,1248.0,70000,First Owner,Manual,Diesel,22.9,Hatchback,5
1864,Renault Triber RXZ BSVI,Renault,869999.9999999999,2022,999.0,10000,First Owner,Manual,Petrol,20.0,MUV,7
1865,Hyundai i20 1.2 Asta Option,Hyundai,600000.0,2018,1197.0,60000,Second Owner,Manual,Petrol,18.6,Hatchback,5
1866,Maruti Alto LXi BSIII,Maruti,140000.0,2006,796.0,90000,Second Owner,Manual,Petrol,19.7,Hatchback,5
1867,Mahindra Quanto C2,Mahindra,160000.0,2012,1493.0,120000,Third Owner,Manual,Diesel,17.21,SUV,7
1868,Maruti Omni 8 Seater BSII,Maruti,6500000.0,2010,796.0,100000,Third Owner,Manual,Petrol,19.7,Minivans,8
1869,Maruti Omni 8 Seater BSII,Maruti,6500000.0,2010,796.0,100000,Third Owner,Manual,Petrol,19.7,Minivans,8
1870,Hyundai i20 Petrol Spotz,Hyundai,550000.0,2018,1197.0,100000,Second Owner,Manual,Petrol,18.6,Hatchback,5
1871,Maruti SX4 S Cross Sigma DDiS 200 SH,Maruti,800000.0,2017,1248.0,120000,First Owner,Manual,Diesel,25.1,Hatchback,5
1872,Maruti Swift 1.3 VXi,Maruti,100000.0,2006,1298.0,80000,First Owner,Manual,Petrol,16.1,Hatchback,5
1873,Volkswagen Polo Petrol Trendline 1.2L,Volkswagen,265000.0,2011,1198.0,80000,Third Owner,Manual,Petrol,16.47,Hatchback,5
1874,Maruti Celerio VXI BSVI,Maruti,600000.0,2022,998.0,20000,First Owner,Manual,Petrol,25.24,Hatchback,5
1875,Mahindra Thar 4X2,Mahindra,370000.0,2011,2523.0,60000,Fifth Owner,Manual,Diesel,18.06,SUV,7
1876,Hyundai i20 Magna BSVI,Hyundai,650000.0,2020,1197.0,30000,Second Owner,Manual,Petrol,21.0,Hatchback,5
1877,Renault KWID 1.0 RXT Optional,Renault,250000.0,2016,999.0,100000,First Owner,Manual,Petrol,23.01,Hatchback,5
1878,Tata Nexon 1.5 Revotorq XZ Plus Dual Tone,Tata,900000.0,2020,1497.0,100000,First Owner,Manual,Diesel,21.5,SUV,5
1879,Maruti Alto K10 VXI,Maruti,360000.0,2017,998.0,90000,First Owner,Manual,Petrol,23.95,Hatchback,5
1880,Honda City i DTEC V,Honda,450000.0,2014,1498.0,80000,Second Owner,Manual,Diesel,26.0,Sedan,5
1881,Maruti Swift ZDi,Maruti,380000.0,2013,1248.0,120000,Second Owner,Manual,Diesel,22.9,Hatchback,5
1882,Audi A3 35 TFSI Technology,Audi,2500000.0,2019,1395.0,20000,Second Owner,Automatic,Petrol,19.2,Sedan,5
1883,Tata Nexon XM S BSVI,Tata,1070000.0,2022,1199.0,20000,First Owner,Manual,Petrol,17.33,SUV,5
1884,Maruti Omni Limited Edition,Maruti,150000.0,2013,796.0,90000,Second Owner,Manual,Petrol,14.7,Maruti,8
1885,Maruti Vitara Brezza ZDi Plus,Maruti,880000.0000000001,2018,1248.0,80000,First Owner,Manual,Diesel,24.3,SUV,5
1886,Mahindra Bolero SLX 2WD BSIII,Mahindra,405000.0,2012,2523.0,120000,Third Owner,Manual,Diesel,15.96,SUV,7
1887,Maruti SX4 S Cross Zeta DDiS 200 SH,Maruti,800000.0,2018,1248.0,50000,First Owner,Manual,Diesel,25.1,SUV,5
1888,Tata Manza Aqua Quadrajet,Tata,160000.0,2010,1248.0,120000,Second Owner,Manual,Diesel,18.8,Sedan,5
1889,Maruti Ciaz Sigma BSVI,Maruti,950000.0,2022,1462.0,10000,First Owner,Manual,Petrol,20.65,Sedan,5
1890,Maruti Alto 800 LXI,Maruti,110000.00000000001,2015,796.0,100000,Fourth Owner,Manual,Petrol,22.74,Hatchback,5
1891,Citroen C3 Puretech 110 Feel,Citroen,780000.0,2022,1199.0,20000,First Owner,Manual,Petrol,19.3,Hatchback,5
1892,Mahindra Bolero DI - AC BS III,Mahindra,500000.0,2014,2523.0,70000,Second Owner,Manual,Diesel,15.96,SUV,9
1893,Mahindra Bolero Neo N10 BSVI,Mahindra,1200000.0,2022,1493.0,20000,First Owner,Manual,Diesel,17.29,SUV,7
1894,Renault Triber RXT BSVI,Renault,670000.0,2020,999.0,40000,First Owner,Manual,Petrol,20.0,MUV,7
1895,Mahindra Scorpio SLE BSIV,Mahindra,400000.0,2013,2179.0,120000,Second Owner,Manual,Diesel,12.05,SUV,8
1896,Hyundai Verna SX,Hyundai,1050000.0,2021,1497.0,30000,First Owner,Manual,Petrol,17.7,Sedan,5
1897,Chevrolet Spark 1.0 LS,Chevrolet,125000.0,2011,995.0,30000,Second Owner,Manual,Petrol,18.0,Hatchback,5
1898,Hyundai i10 Asta,Hyundai,114999.99999999999,2010,1197.0,30000,Second Owner,Manual,Petrol,20.36,Hatchback,5
1899,Maruti Swift Dzire VDI,Maruti,610000.0,2016,1248.0,60000,Second Owner,Manual,Diesel,26.59,Sedan,5
1900,Hyundai Verna VTVT 1.6 SX Option,Hyundai,1050000.0,2019,1591.0,30000,First Owner,Manual,Petrol,17.0,Sedan,5
1901,Renault Triber RXT BSVI,Renault,800000.0,2022,999.0,20000,First Owner,Manual,Petrol,20.0,MUV,7
1902,Maruti Swift Dzire VDI,Maruti,495000.0,2015,1248.0,110000,First Owner,Manual,Diesel,26.59,Sedan,5
1903,Maruti Wagon R LXI Minor,Maruti,165000.0,2010,1061.0,90000,Third Owner,Manual,Petrol,18.9,Hatchback,5
1904,Maruti Alto LXi,Maruti,110000.00000000001,2011,796.0,120000,Fifth Owner,Manual,Petrol,19.7,Hatchback,5
1905,Hyundai i10 Magna 1.2 iTech SE,Hyundai,220000.00000000003,2012,1197.0,70000,Third Owner,Manual,Petrol,20.36,Hatchback,5
1906,Kia Carnival Limousine,Kia,3000000.0,2020,2199.0,60000,First Owner,Automatic,Diesel,14.11,MUV,7
1907,Maruti Omni E MPI STD BSIV,Maruti,210000.0,2017,796.0,30000,Third Owner,Manual,Petrol,16.8,Minivans,8
1908,Mahindra Scorpio VLX 2WD AIRBAG BSIV,Mahindra,380000.0,2011,2179.0,120000,Fourth Owner,Manual,Diesel,12.05,SUV,8
1909,Toyota Innova 2.5 E Diesel MS 8-seater,Toyota,250000.0,2010,2494.0,120000,Third Owner,Manual,Diesel,12.8,MUV,8
1910,Tata New Safari XZ Plus Adventure Edition BSVI,Tata,2250000.0,2022,1956.0,20000,First Owner,Manual,Diesel,16.14,SUV,7
1911,Tata Zest Revotron 1.2T XM,Tata,229999.99999999997,2015,1193.0,90000,Second Owner,Manual,Petrol,17.57,Sedan,5
1912,Tata Safari Storme VX,Tata,450000.0,2014,2179.0,80000,Second Owner,Manual,Diesel,14.0,SUV,7
1913,Maruti Baleno RS Petrol,Maruti,700000.0,2020,998.0,60000,First Owner,Manual,Petrol,21.1,Hatchback,5
1914,Hyundai EON Era Plus,Hyundai,155000.0,2012,814.0,10000,Second Owner,Manual,Petrol,21.1,Hatchback,5
1915,Maruti Swift ZXI,Maruti,320000.0,2012,1197.0,100000,Second Owner,Manual,Petrol,18.6,Hatchback,5
1916,Mahindra XUV500 W8 4WD,Mahindra,450000.0,2013,2179.0,80000,Third Owner,Manual,Diesel,15.1,SUV,7
1917,Renault KWID RXT,Renault,350000.0,2018,799.0,40000,First Owner,Manual,Petrol,25.17,Hatchback,5
1918,Toyota Corolla Altis G,Toyota,265000.0,2011,1798.0,100000,Second Owner,Manual,Petrol,14.53,Sedan,5
1919,Hyundai i20 Sportz DT BSVI,Hyundai,750000.0,2021,1197.0,10000,First Owner,Manual,Petrol,21.0,Hatchback,5
1920,Maruti Alto 800 LXI,Maruti,107000.0,2013,796.0,40000,Fifth Owner,Manual,Petrol,22.74,Hatchback,5
1921,Hyundai Verna 1.4 CRDi,Hyundai,450000.0,2014,1396.0,100000,Second Owner,Manual,Diesel,24.8,Sedan,5
1922,Mahindra Scorpio 1.99 S4 Plus 4WD,Mahindra,650000.0,2017,1997.0,120000,Second Owner,Manual,Diesel,15.4,SUV,7
1923,Maruti Alto LXi,Maruti,110000.00000000001,2011,796.0,72434,Third Owner,Manual,Petrol,19.7,Hatchback,5
1924,Ford Aspire 1.2 Ti-VCT Trend,Ford,300000.0,2015,1196.0,34185,Third Owner,Manual,Petrol,18.16,Sedan,5
1925,Tata Altroz XT BSVI,Tata,900000.0,2022,1199.0,10801,First Owner,Manual,Petrol,19.33,Hatchback,5
1926,Maruti Ertiga VDI,Maruti,450000.0,2013,1248.0,208978,First Owner,Manual,Diesel,20.77,MUV,7
1927,Nissan Magnite XE BSVI,Nissan,417000.0,2021,999.0,29336,Second Owner,Manual,Petrol,18.75,SUV,5
1928,Hyundai Grand i10 Magna,Hyundai,325000.0,2015,1197.0,71501,First Owner,Manual,Petrol,18.9,Hatchback,5
1929,Kia Seltos GTX Plus,Kia,1200000.0,2019,1353.0,68279,First Owner,Manual,Petrol,16.5,SUV,5
1930,Hyundai i10 Sportz,Hyundai,231000.0,2012,1197.0,110728,First Owner,Manual,Petrol,20.36,Hatchback,5
1931,Maruti Swift Dzire LDI,Maruti,211000.0,2012,1248.0,99761,Second Owner,Manual,Diesel,23.4,Sedan,5
1932,Hyundai Accent GLE,Hyundai,142000.0,2006,1495.0,94970,Second Owner,Manual,Petrol,13.2,Sedan,5
1933,Maruti Baleno Delta,Maruti,496000.0,2021,1197.0,46195,Second Owner,Manual,Petrol,21.01,Hatchback,5
1934,Kia Seltos GTX Plus DCT,Kia,1450000.0,2021,1353.0,46865,First Owner,Automatic,Petrol,16.5,SUV,5
1935,Hyundai Grand i10 CRDi Sportz,Hyundai,270000.0,2014,1120.0,158924,First Owner,Manual,Diesel,24.0,Hatchback,5
1936,Honda WR-V VX,Honda,900000.0,2022,1199.0,17284,First Owner,Manual,Petrol,16.5,SUV,5
1937,Hyundai i20 Sportz 1.4 CRDi,Hyundai,300000.0,2014,1396.0,94905,First Owner,Manual,Diesel,21.9,Hatchback,5
1938,Maruti Swift LDI,Maruti,400000.0,2013,1248.0,72480,First Owner,Manual,Diesel,22.9,Hatchback,5
1939,Nissan Micra Active XV S,Nissan,215000.0,2015,1198.0,164910,First Owner,Manual,Petrol,19.49,Hatchback,5
1940,Honda City i DTEC V,Honda,442000.0,2014,1498.0,80607,Second Owner,Manual,Diesel,26.0,Sedan,5
1941,Maruti Swift AMT VXI,Maruti,508000.0,2020,1197.0,33055,Second Owner,Automatic,Petrol,21.21,Hatchback,5
1942,Mahindra XUV500 W8 FWD,Mahindra,400000.0,2012,2179.0,91873,Second Owner,Manual,Diesel,15.1,SUV,7
1943,Chevrolet Optra 1.6 LS BS3,Chevrolet,6200000.0,2007,1598.0,72117,First Owner,Manual,Petrol,12.9,Sedan,5
1944,Mahindra XUV500 W8 2WD,Mahindra,415000.00000000006,2012,2179.0,160351,First Owner,Manual,Diesel,15.1,SUV,7
1945,Maruti Vitara Brezza ZDi Plus,Maruti,755000.0,2018,1248.0,68280,First Owner,Manual,Diesel,24.3,SUV,5
